phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-4104291,out-call,14,31.4483789595,34.4154736776
050-2472907,in-call,550,31.4079650774,34.3866569173
050-2687588,out-call,71,31.4068689515,34.3739209691
050-7088025,in-call,100,31.4644952698,34.4245331189
050-5481698,in-call,18,31.4493345433,34.415891581
050-9892342,in-call,32,31.4539333189,34.4148310604
050-8350107,in-call,554,31.4466466413,34.4258776117
050-9794776,in-call,40,31.4094524058,34.3709266981
050-1471578,out-call,3599,31.4623469369,34.4208203659
050-8647638,in-call,2699,31.461227415,34.4238509328
050-7343605,in-call,40,31.4702584108,34.4235363802
050-5411872,out-call,110,31.4123865618,34.3872424955
050-8169571,in-call,3393,31.4731561571,34.4387049807
