phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-8192367,out-call,112,31.4545681519,34.4199040741
050-8209188,in-call,215,31.4614942493,34.4257699606
050-4829776,out-call,1704,31.475916925,34.4415633871
050-3406124,in-call,16,31.4038315423,34.3656125619
050-5108995,out-call,68,31.4720391744,34.437622742
050-9972228,in-call,1987,31.4788826921,34.4222524095
050-4980820,in-call,734,31.4089217701,34.3701608203
050-7716653,out-call,59,31.451729874,34.3862899183
050-9472068,in-call,1397,31.4389262405,34.3843009456
050-9097526,out-call,102,31.4588097946,34.4389112172
050-2813690,in-call,649,31.4537681603,34.4471489365
