phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-9790412,in-call,413,31.4126864996,34.3729034483
050-9901216,out-call,600,31.4359081771,34.3899310145
050-4583475,in-call,1926,31.4590311507,34.4237851109
050-2923026,in-call,2339,31.4929207075,34.4483346972
050-9568010,in-call,538,31.4351947793,34.3869603935
050-2048693,out-call,1957,31.4038315423,34.3656125619
050-7170433,in-call,89,31.4436760014,34.4188732648
050-8058515,out-call,16,31.4705479778,34.4067184269
050-9120730,in-call,109,31.4751052489,34.435411717
050-2113501,out-call,96,31.4184884116,34.364528053
050-2590546,out-call,96,31.4467478243,34.4167580305
050-2894634,out-call,72,31.4074602479,34.3786606795
