phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-7952699,in-call,1114,31.4544885598,34.4104676694
050-3390796,out-call,1835,31.4482136901,34.3864572468
050-2159676,in-call,26,31.4609847189,34.4026945499
050-6988801,out-call,711,31.4792434285,34.4441274395
050-7471437,out-call,595,31.4647254763,34.428789071
050-5223464,out-call,1266,31.4463122737,34.390845596
050-3105450,in-call,3018,31.4569666754,34.4185882134
050-2082254,out-call,111,31.4428914207,34.4238856229
050-8190641,in-call,2452,31.4795240899,34.4504927824
050-2286184,out-call,63,31.4580598951,34.4448994416
050-9346792,in-call,53,31.3896478709,34.3518776287
050-7366263,in-call,3423,31.4395626361,34.3906748215
050-1476916,in-call,40,31.4739649894,34.4271403515
050-2637274,out-call,2670,31.4518930776,34.4140584196
050-4027232,out-call,105,31.4576590182,34.4136145182
