phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-6330110,in-call,39,31.4461072523,34.4156410128
050-7349083,in-call,805,31.4095771413,34.3715193134
050-4013853,in-call,40,31.4751658411,34.4307461708
050-9431350,out-call,3582,31.466920661,34.4089776019
050-7029565,in-call,62,31.47391743,34.4358760403
050-6464502,in-call,2407,31.4379479557,34.3882446459
050-8862055,in-call,54,31.4550030899,34.4112647113
050-7529814,in-call,2888,31.485186073,34.4503220474
050-5914245,out-call,30,31.4776415637,34.4300610084
050-8006865,out-call,96,31.4554431226,34.4184802445
050-6675063,out-call,14,31.4569597751,34.426642922
050-8194541,out-call,41,31.462410228,34.431840007
