phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-9466565,out-call,53,31.4481774362,34.4139315542
050-2046269,in-call,57,31.4197599617,34.3697861143
050-2716371,out-call,718,31.4719559328,34.4394402322
050-3999087,in-call,101,31.4542225791,34.4341381559
050-8097489,in-call,2412,31.4352480621,34.3871682945
050-6880422,in-call,2794,31.5087777831,34.462561031
050-6827468,in-call,2177,31.3831445492,34.3509438362
050-1760637,in-call,2818,31.4677251892,34.4411307017
050-3572775,out-call,36,31.4476071334,34.4199758785
050-5552109,out-call,91,31.4407201382,34.3880815707
050-1981737,out-call,2975,31.4048630189,34.3699537451
050-3210905,in-call,1576,31.480269797,34.4504963195
050-5975767,out-call,169,31.4721618688,34.424565971
050-7582088,in-call,2250,31.465401877,34.4233676109
