phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-1146338,in-call,59,31.4715560822,34.4428665077
050-1732030,in-call,96,31.4536887659,34.4123480838
050-6436003,in-call,35,31.4582449462,34.4151136459
050-3525708,in-call,85,31.3951061061,34.353593497
050-5511499,out-call,402,31.4677763547,34.4190050576
050-3541189,out-call,19,31.5141446919,34.4730506414
050-8401830,out-call,51,31.4691502195,34.4268319213
050-4813989,out-call,68,31.4636593878,34.4155529803
050-9467461,in-call,118,31.4362510057,34.3831710374
050-9201631,out-call,536,31.4108435989,34.3871236072
050-2069282,in-call,12,31.4806490147,34.4432785975
050-8341869,in-call,74,31.4015551238,34.3467572392
