phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-5842357,out-call,177,31.4587049764,34.4205591967
050-7452678,in-call,3539,31.4063970227,34.367236012
050-1838305,in-call,558,31.4038315423,34.3656125619
050-7439377,out-call,427,31.4405153581,34.3892633691
050-7294717,out-call,355,31.4126864996,34.3729034483
050-9403017,out-call,1985,31.4163135558,34.3718352047
050-6958147,in-call,1652,31.4082100379,34.3719192893
050-2719393,in-call,102,31.3810729087,34.3431676622
050-6335086,in-call,91,31.4561125114,34.4191593694
050-3409397,in-call,110,31.4667033598,34.4342733925
