phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-2653193,out-call,82,31.4660508534,34.4230680306
050-2559305,in-call,111,31.4084863513,34.3428316502
050-9354270,in-call,71,31.4508306269,34.4405132131
050-6971022,out-call,24,31.4640894315,34.4194114439
050-7301363,out-call,13,31.4515578622,34.422653037
050-3032356,out-call,19,31.4474015596,34.4200578318
050-1642839,out-call,3083,31.3899295316,34.3465831744
050-2793355,in-call,68,31.417615512,34.3728814151
050-1612802,in-call,99,31.4923202358,34.4524890052
050-4151867,in-call,388,31.4359081771,34.3899310145
050-2942529,out-call,68,31.4804998053,34.4470116578
050-9530301,out-call,18,31.4534622091,34.4172794175
050-2731137,in-call,110,31.4340153418,34.4148745414
