phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-5411266,out-call,33,31.4713078159,34.4238424504
050-6696622,in-call,86,31.4723488014,34.4368062169
050-2411664,out-call,120,31.4625557308,34.4528259155
050-7731868,out-call,82,31.4706016982,34.4206452521
050-4721905,out-call,1855,31.4644184281,34.4519590786
050-9297786,out-call,81,31.4510856116,34.4097016143
050-9983161,in-call,977,31.4383538914,34.390182563
050-1523479,out-call,1900,31.4672664483,34.437167193
050-9450455,out-call,3337,31.4532138548,34.416176149
050-6580827,out-call,62,31.4566741914,34.4263430156
