phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-5267031,in-call,481,31.4259449653,34.3833868245
050-9512563,in-call,15,31.4094808438,34.3787981269
050-1290533,out-call,1937,31.4124330635,34.3962726719
050-1967032,in-call,1400,31.4336896739,34.4068918453
050-8220012,out-call,15,31.4126983827,34.3573596515
050-4311463,out-call,36,31.4438909701,34.4192763497
050-8216339,out-call,329,31.4772391261,34.4305635567
050-9877193,out-call,1352,31.4674695438,34.4284292933
050-5941170,out-call,2924,31.3966480864,34.363441501
050-5131118,in-call,2803,31.4271218442,34.3972717097
050-6669523,in-call,74,31.4606807978,34.4266625123
050-6397883,in-call,69,31.4409868515,34.3896350715
050-4836605,in-call,64,31.4462694041,34.4153273898
050-4554037,in-call,2819,31.4523442424,34.4147010393
