phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-1344237,in-call,830,31.3791227137,34.3304829087
050-8199812,in-call,2719,31.4749426633,34.4466698838
050-8632897,in-call,22,31.4901297754,34.4332117184
050-7496851,out-call,17,31.4605407018,34.4267584628
050-9286537,in-call,37,31.5075164378,34.4754293315
050-6885041,in-call,1114,31.463447091,34.4207345671
050-1812440,in-call,528,31.461884707,34.4153433944
050-9664853,in-call,3277,31.4938714236,34.4651892271
050-9830694,in-call,49,31.4564423889,34.4236038993
050-8927559,in-call,2213,31.4547238975,34.4045318774
050-4994809,in-call,117,31.467123119,34.431897416
