phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-6550001,in-call,91,31.4553769399,34.4155192155
050-1060810,in-call,234,31.4901379319,34.4469718655
050-5724934,out-call,24,31.3892206533,34.3326497925
050-2869603,in-call,79,31.4617945357,34.4170013518
050-5589663,in-call,56,31.455206742,34.4114880897
050-8042693,in-call,102,31.3973134795,34.3426901099
050-8273759,in-call,19,31.4620124154,34.4336684708
050-8033890,in-call,638,31.4672449188,34.4362546193
050-9328669,out-call,1267,31.3923722782,34.3511375083
050-6271009,in-call,117,31.4090969483,34.37537811
050-9121563,out-call,2994,31.4699368238,34.431572429
050-6310550,out-call,30,31.4708936187,34.4248203419
