phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-6515067,out-call,1965,31.4656641249,34.4253946399
050-6960643,out-call,2308,31.4677720596,34.4377856625
050-7966001,out-call,87,31.4509979795,34.4133352017
050-8938205,in-call,36,31.4651889731,34.406717285
050-4742962,in-call,12,31.4388893389,34.4242956047
050-1030170,in-call,95,31.4668648953,34.4174570378
050-5808746,in-call,56,31.4583619946,34.4147014001
050-7992676,in-call,86,31.4731392806,34.4375305154
050-1894665,out-call,873,31.4127562635,34.3741708786
050-7717270,in-call,78,31.4403778329,34.415522404
050-1006609,out-call,3078,31.4361267257,34.3878623345
050-6886193,in-call,676,31.4045499121,34.3712925668
050-6024610,out-call,3278,31.4506183831,34.4207788623
050-1536793,in-call,287,31.4043174718,34.3666925994
