phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-4478499,out-call,66,31.4441991935,34.4116107836
050-6930918,in-call,347,31.4733277982,34.4646399179
050-5724141,in-call,39,31.4701321943,34.4199308947
050-8178483,in-call,20,31.398197516,34.3381763635
050-3040525,out-call,2369,31.4850421194,34.4697704796
050-7721419,out-call,2074,31.4158606961,34.3652032489
050-7172546,in-call,23,31.3791227137,34.3304829087
050-8465775,out-call,151,31.4502452242,34.4211442075
050-1681659,in-call,485,31.4143746576,34.3700260946
050-2244999,out-call,3229,31.41182839,34.3758399404
050-1570389,out-call,105,31.4452037317,34.4194059115
050-7621506,in-call,1254,31.4837347934,34.4534581254
050-1276291,out-call,15,31.4545844605,34.4217281818
050-5976292,out-call,739,31.3748637314,34.3424631691
050-4036948,out-call,531,31.4701146058,34.4439116477
