phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-7194994,out-call,2182,31.4882903037,34.4579899733
050-9164125,in-call,1654,31.4593567073,34.4211053094
050-4469227,in-call,90,31.4526881234,34.407419899
050-5611590,in-call,1227,31.4483152578,34.4113077174
050-4780888,out-call,1769,31.4593432428,34.4319167732
050-6352767,in-call,103,31.4713650916,34.4358437109
050-9340154,out-call,11,31.4145706943,34.3948515407
050-8518222,out-call,28,31.4670827559,34.4180314067
050-3575171,in-call,16,31.4929898357,34.4443925408
050-9841173,out-call,454,31.4562257299,34.407485409
050-4484222,out-call,30,31.4750361642,34.4347452613
050-7159831,out-call,2958,31.4031942071,34.3664641887
050-6394515,in-call,2330,31.4518930776,34.4140584196
