phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-9492141,out-call,33,31.4340575361,34.3864494613
050-8230283,in-call,45,31.4569190072,34.4146682238
050-9400858,in-call,2263,31.4030816447,34.3807431312
050-1038256,in-call,117,31.3852961185,34.3480646615
050-7955135,out-call,2706,31.458120942,34.4241992273
050-7886554,in-call,1837,31.4516121205,34.3934617056
050-2558965,in-call,45,31.4840374346,34.4434320577
050-2254944,in-call,1918,31.4545844605,34.4217281818
050-7416070,in-call,29,31.4435888368,34.4177532306
050-9688037,out-call,116,31.4401450294,34.3924710523
050-2096643,in-call,120,31.4570217227,34.43098793
