phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-8264482,in-call,1182,31.4362699422,34.4044721017
050-6333271,in-call,56,31.4090923578,34.3826789066
050-5174396,out-call,384,31.444222073,34.3781489304
050-3388869,out-call,92,31.432945222,34.3855731757
050-2515328,in-call,432,31.4671155582,34.4426953891
050-7768928,in-call,106,31.4341710955,34.3782241446
050-1734842,out-call,1513,31.4807909366,34.4316673012
050-3302823,in-call,1754,31.4292971243,34.3956534204
050-4962017,in-call,26,31.3909285993,34.3529818997
050-6514233,in-call,84,31.4659663954,34.4501385588
