phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-5268030,in-call,2276,31.4441991935,34.4116107836
050-8201568,out-call,1435,31.4783859721,34.4478441394
050-8309497,out-call,3470,31.4519564724,34.4077406447
050-3294444,out-call,3230,31.4560544416,34.4347876112
050-6565191,in-call,2052,31.4846164287,34.4344631438
050-3014124,in-call,31,31.4966489898,34.4681229156
050-8732793,in-call,76,31.4486669177,34.4108955451
050-7961511,in-call,49,31.4603776297,34.4202854527
050-1306727,out-call,660,31.480269797,34.4504963195
050-1997810,out-call,96,31.4126864996,34.3729034483
050-3380976,in-call,33,31.4245149399,34.3628387471
050-9413334,out-call,40,31.4827897458,34.4421824179
050-3120149,out-call,14,31.3896033247,34.3521375083
050-4500437,out-call,1580,31.4549265775,34.4234124528
