phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-9106415,out-call,56,31.4427419228,34.4139275887
050-6081549,in-call,1577,31.4741628531,34.4604923804
050-2467860,out-call,112,31.4713897736,34.4496381592
050-9928874,in-call,58,31.3934904682,34.3506200066
050-1461868,out-call,103,31.4666521261,34.4127205101
050-4340036,out-call,572,31.416811551,34.3648906857
050-2884895,out-call,2754,31.4592545724,34.4298848564
050-1801425,out-call,113,31.4510043438,34.4149088315
050-7205602,out-call,26,31.4637875588,34.4259704423
050-2265173,in-call,906,31.4745619346,34.424889056
050-1742617,in-call,62,31.4546087389,34.4050412356
050-1505257,out-call,113,31.4740235596,34.4327565465
050-2651945,in-call,104,31.4411469288,34.3848542905
