phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-9597115,in-call,66,31.4613332504,34.4395100528
050-7138258,in-call,37,31.4538219593,34.4181951129
050-2917593,out-call,43,31.4544520863,34.4103019412
050-2909945,in-call,100,31.4426277634,34.413364828
050-8387574,in-call,111,31.457420609,34.4181190701
050-3429694,in-call,1481,31.4729728058,34.4229730263
050-4479274,out-call,270,31.466442087,34.4249774767
050-2907785,out-call,2386,31.4669327658,34.4319071214
050-6644614,in-call,1999,31.4697052605,34.4191954118
050-3119561,out-call,53,31.5094860975,34.4856955874
050-9113752,in-call,1257,31.4575937079,34.4337464224
