phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-4701913,in-call,118,31.4700593092,34.4148489787
050-2290971,in-call,3393,31.4403303369,34.4226301467
050-6940395,in-call,76,31.4929898357,34.4443925408
050-3538965,out-call,93,31.4549265775,34.4234124528
050-9795531,in-call,2395,31.4535548405,34.4245918063
050-8788213,out-call,3054,31.4553581285,34.3985674939
050-3308530,out-call,1796,31.4585832349,34.4191163817
050-5663249,out-call,72,31.5198266864,34.4865843077
050-6633175,in-call,2601,31.4568623929,34.4170906803
050-5006149,out-call,102,31.4792280381,34.4409753601
050-1839165,out-call,2721,31.4093868218,34.3707090685
050-3242646,in-call,373,31.4850421194,34.4697704796
050-1421866,out-call,2444,31.465849693,34.4373106529
050-4569685,in-call,1223,31.4792434285,34.4441274395
050-3954342,out-call,550,31.4007897725,34.3728318767
