phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-6517266,out-call,47,31.4567551899,34.4346558514
050-7036548,in-call,36,31.4502281316,34.409914564
050-1903809,in-call,2923,31.4013809512,34.3745666844
050-6849350,out-call,3045,31.446411432,34.4176201575
050-6716745,out-call,1307,31.4285367521,34.4117588614
050-7947694,out-call,69,31.4928730377,34.4573351504
050-4008739,out-call,35,31.4456336634,34.4303146443
050-7538303,out-call,1659,31.4535548405,34.4245918063
050-7689728,in-call,71,31.4582029576,34.4157823602
050-9336137,in-call,1108,31.4465110162,34.4100221695
050-3434992,out-call,64,31.4549834184,34.4127475594
050-7472091,in-call,1497,31.4380983029,34.3912089625
