phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-1144467,out-call,25,31.4501029173,34.4242916913
050-6136850,in-call,1882,31.4487953511,34.4151899136
050-8006404,in-call,19,31.4583345168,34.4144751743
050-1891024,out-call,1414,31.465401877,34.4233676109
050-1018728,out-call,82,31.4533927161,34.4171861155
050-9902535,out-call,13,31.4150441405,34.3718189577
050-7369176,in-call,1855,31.4620033408,34.4146834776
050-1912303,out-call,1159,31.4548975859,34.4154410591
050-4770570,in-call,11,31.3784655742,34.3287503092
050-5441635,in-call,2349,31.4340153418,34.4148745414
050-8658903,in-call,3288,31.4483152578,34.4113077174
050-5458879,in-call,65,31.4943523499,34.4670412302
050-5443994,in-call,1031,31.4532138548,34.416176149
