phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-7160756,in-call,1432,31.4013809512,34.3745666844
050-7979252,in-call,59,31.4070229088,34.3673389136
050-4253265,out-call,520,31.4402798259,34.4181465084
050-3153030,in-call,1234,31.4483752117,34.3860904095
050-3992726,out-call,1425,31.4527641951,34.4151095221
050-7310381,in-call,39,31.3893992936,34.3371229604
050-6784518,out-call,3132,31.420180812,34.364861463
050-8400891,out-call,113,31.4802404754,34.4556009069
050-1384501,in-call,839,31.4713742553,34.4166533208
050-9571730,in-call,120,31.4732435139,34.4294301072
050-5144901,out-call,109,31.4128516048,34.3469154077
