phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-2784676,out-call,89,31.4771002081,34.4511613203
050-1680689,out-call,75,31.4366624523,34.3892339106
050-2868580,in-call,52,31.3847731502,34.351038095
050-9635559,out-call,15,31.4654376338,34.4247136166
050-3386141,in-call,103,31.4506779726,34.4149070029
050-5982354,out-call,1824,31.4446179284,34.4205382218
050-4176947,out-call,1103,31.4531344006,34.4098699149
050-6101232,out-call,386,31.4670045529,34.4352293083
050-2475531,in-call,56,31.4776558288,34.4415516006
050-7287510,out-call,1240,31.4598155351,34.4240197548
050-4422210,out-call,108,31.4778191644,34.4424943144
050-4081996,in-call,65,31.4894798118,34.4441718434
050-5389863,out-call,92,31.4607591829,34.423215274
