phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-4994450,out-call,1403,31.4639019912,34.4276644218
050-5201157,out-call,2275,31.4897854395,34.4508421899
050-4544622,out-call,108,31.4727316909,34.4222488928
050-6683370,out-call,65,31.4576173223,34.4343655993
050-4004032,in-call,107,31.4607602544,34.4081270285
050-2546827,out-call,850,31.4855422966,34.4568465245
050-6631828,in-call,32,31.4712752617,34.4184139103
050-6640369,out-call,101,31.4721079089,34.436860444
050-7027778,in-call,1615,31.385834961,34.3459518194
050-9010075,in-call,1859,31.4016608221,34.3680082565
050-9581147,in-call,65,31.3905176367,34.3236890761
