phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-7392839,out-call,808,31.4455888241,34.4273417637
050-6867254,in-call,115,31.4154903771,34.3675254259
050-3005282,out-call,43,31.4840374346,34.4434320577
050-9646539,in-call,98,31.4448948713,34.4157092022
050-3959179,in-call,294,31.4343562938,34.3863252806
050-8862279,out-call,431,31.4416875376,34.3912639609
050-9267818,in-call,3250,31.4543049287,34.4096340247
050-6504366,in-call,80,31.4721079089,34.436860444
050-1609887,in-call,871,31.4286650518,34.4122904783
050-3672948,out-call,156,31.4423213251,34.3893825908
050-1713355,out-call,2077,31.4837681134,34.4475407039
050-5644645,in-call,1328,31.4639019912,34.4276644218
050-1612979,in-call,38,31.4831759243,34.4481427882
050-1427569,out-call,31,31.4005039558,34.3739408233
050-9059075,out-call,3230,31.4162792059,34.3705713561
