phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-2774647,in-call,914,31.4248872947,34.3607433104
050-1768888,in-call,108,31.4771002081,34.4511613203
050-1018821,out-call,85,31.4164582266,34.3670051976
050-2254857,in-call,103,31.4064791212,34.3769994513
050-6143204,out-call,55,31.4110801848,34.3717996317
050-9719940,in-call,67,31.4525179292,34.4206958962
050-6215624,out-call,843,31.4535564111,34.4247536833
050-6317207,in-call,1250,31.4382245572,34.3913308127
050-7429415,out-call,1061,31.4508804192,34.4151535765
050-7757666,in-call,76,31.4534649031,34.4166626015
050-8097405,out-call,16,31.476213625,34.4367323594
050-6993749,in-call,34,31.3780357876,34.3143907031
