phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-9439550,out-call,122,31.4657179928,34.4315448753
050-5562309,out-call,2115,31.4606581135,34.4294726209
050-4368587,in-call,198,31.4448948713,34.4157092022
050-5930012,in-call,1453,31.4647254763,34.428789071
050-6764613,in-call,45,31.4648368545,34.4340868015
050-4934842,in-call,79,31.4455112556,34.4105124788
050-6283737,out-call,2433,31.4558231428,34.4087345933
050-1152775,in-call,63,31.4435888368,34.4177532306
050-5291091,out-call,3154,31.4612608337,34.4124492765
050-2440944,out-call,19,31.4854774888,34.4543077984
