phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-1172997,out-call,57,31.4070059439,34.3703669309
050-4438599,in-call,765,31.4693139373,34.4165670158
050-3758448,out-call,923,31.450049612,34.411394682
050-4774193,in-call,10,31.4220783574,34.3598663774
050-3071394,out-call,84,31.4542225791,34.4341381559
050-5744044,in-call,1251,31.3962176285,34.3502936843
050-4354189,out-call,43,31.3892206533,34.3326497925
050-7921591,out-call,2641,31.3966859363,34.3536635998
050-5612677,in-call,78,31.467123119,34.431897416
050-5759752,out-call,2279,31.4540998104,34.4270512393
050-3628252,in-call,99,31.456983953,34.4317364085
