phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-5023033,in-call,26,31.4758775384,34.4406318098
050-5901025,out-call,3321,31.4694500274,34.4317663256
050-2822734,in-call,308,31.4581827514,34.4224292784
050-1092207,in-call,3235,31.4588839221,34.4066537365
050-6346970,in-call,29,31.4737279309,34.4303346054
050-4191490,out-call,95,31.4834752196,34.4410736364
050-9372095,in-call,94,31.4531281335,34.4173018796
050-5009708,in-call,2213,31.4729639616,34.4247158566
050-2893229,out-call,1729,31.4534451569,34.4113562569
050-5440955,in-call,85,31.4785766596,34.4390004834
