phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-6915230,in-call,86,31.4627905805,34.414302664
050-6141399,in-call,3570,31.4083083751,34.3744860364
050-1169682,out-call,44,31.4141301223,34.3893600034
050-3699086,in-call,29,31.4537357709,34.4232497448
050-4558475,out-call,939,31.4437986739,34.3884287763
050-7010131,out-call,502,31.4100468838,34.3822876536
050-5468601,in-call,3530,31.4623459749,34.4238432396
050-5074475,out-call,3481,31.468568149,34.4304771016
050-6468402,in-call,3502,31.3934904682,34.3506200066
050-6902258,out-call,70,31.4587627058,34.4156526047
