phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-3067402,out-call,2307,31.4734961428,34.4388343477
050-8659974,out-call,45,31.4805270131,34.4195711811
050-5686293,in-call,1491,31.4158606961,34.3652032489
050-8814766,in-call,1034,31.4897854395,34.4508421899
050-1973084,out-call,1807,31.4560494575,34.3964324711
050-6172590,in-call,19,31.4769985239,34.4481174784
050-1551926,in-call,1868,31.4606581135,34.4294726209
050-7019808,out-call,857,31.46567596,34.4319476164
050-6027942,in-call,62,31.4706239819,34.4458908909
050-5052795,out-call,3055,31.4557628146,34.4261506236
050-8960652,in-call,35,31.4470437346,34.4147845308
050-4922342,out-call,12,31.4855267868,34.4439422415
050-3559627,out-call,10,31.4507111341,34.4304924131
050-4139881,in-call,1064,31.4537867155,34.4299099438
050-7161133,out-call,2070,31.4541613266,34.4097906396
050-6327616,in-call,2417,31.4344320794,34.4213974773
