phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-1340339,in-call,28,31.4654526211,34.4131050164
050-5113309,in-call,14,31.4595607368,34.4140715852
050-5598914,out-call,79,31.4168937381,34.3723923459
050-8303946,in-call,3362,31.4016514627,34.3424610059
050-1801975,in-call,1191,31.4126188359,34.3673573675
050-2562615,out-call,52,31.446366695,34.4230304086
050-1852494,out-call,2071,31.4640690655,34.4291798695
050-5610433,out-call,51,31.4576174777,34.3997230933
050-4342827,out-call,111,31.4210405057,34.367681596
050-2510085,in-call,53,31.4497698366,34.4142319991
050-6695351,out-call,50,31.4127765418,34.372936411
050-9178902,in-call,1312,31.4726261904,34.4280875368
