phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-6899053,in-call,63,31.4013809512,34.3745666844
050-8511256,in-call,3598,31.4401766802,34.3870450924
050-8470332,out-call,41,31.4595902258,34.4247600679
050-8992684,in-call,67,31.4588839221,34.4066537365
050-7964147,in-call,79,31.412505047,34.3667440769
050-6769922,out-call,2915,31.4783121554,34.4431687838
050-1077223,in-call,56,31.441424977,34.3915680729
050-1998623,out-call,111,31.4060673095,34.3702847061
050-9373930,out-call,115,31.4609978203,34.4194413662
050-1534645,out-call,1459,31.4454266461,34.4137820607
050-6654394,in-call,2308,31.4491291559,34.4104953462
050-8229921,in-call,468,31.467123119,34.431897416
050-2218037,out-call,3518,31.44433697,34.3870137317
