phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-2019716,out-call,3353,31.4406550787,34.4127199193
050-3227694,out-call,60,31.4262657911,34.4148051498
050-8834687,in-call,76,31.4774047663,34.4382903037
050-5379800,out-call,435,31.4107007291,34.366487695
050-1887758,out-call,1179,31.4559064218,34.4049054926
050-7054734,in-call,1047,31.3965950393,34.3531658654
050-1178589,in-call,2545,31.4105016204,34.3924807592
050-2993134,in-call,84,31.38257931,34.3447654112
050-6584243,out-call,96,31.4580957259,34.4244530085
050-2384833,in-call,39,31.4544099361,34.4148891907
