phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-3901467,in-call,2538,31.4680377681,34.4266869515
050-3316605,out-call,1470,31.377206479,34.3344569285
050-3730845,in-call,748,31.4852800398,34.4519195986
050-4307028,in-call,3541,31.4565631425,34.4205545606
050-7437985,in-call,62,31.4551437049,34.4085842393
050-5848209,in-call,101,31.3920320863,34.3387423562
050-2628538,out-call,3404,31.4565631425,34.4205545606
050-7583777,in-call,29,31.4480293845,34.4173974183
050-8998860,out-call,1095,31.4749244111,34.4398650905
050-3168532,in-call,73,31.378208488,34.3417950723
050-3512919,in-call,90,31.4800162252,34.4437385891
