phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-9034245,in-call,57,31.4722191865,34.4395467345
050-6839706,in-call,1949,31.4591127192,34.4237737067
050-1807988,in-call,80,31.4497698366,34.4142319991
050-8591386,out-call,33,31.4515037128,34.4294404318
050-7174769,in-call,109,31.4827897458,34.4421824179
050-3523733,out-call,41,31.483439208,34.4389915579
050-4862618,in-call,748,31.4742550716,34.4362225608
050-4171936,out-call,91,31.4574567805,34.4052852874
050-6395477,out-call,15,31.4520363095,34.4222165342
050-8123082,in-call,2008,31.4754466607,34.4429383961
050-3282612,in-call,914,31.4608022113,34.4211737172
050-4584838,in-call,1405,31.4560168339,34.4033775808
050-4682502,out-call,48,31.4350360122,34.3857725754
050-4642147,out-call,2636,31.4617028975,34.4298169116
050-4618496,out-call,1201,31.4731859249,34.44124727
