phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-1584265,out-call,2013,31.4517790045,34.4129160202
050-9946770,out-call,1240,31.4002294108,34.3723867023
050-6162516,in-call,18,31.4385986811,34.4160299483
050-4080279,out-call,80,31.4671155582,34.4426953891
050-6600706,out-call,1299,31.4720428377,34.4413185588
050-4929533,in-call,1822,31.4664277929,34.422141075
050-3378662,in-call,168,31.4644952698,34.4245331189
050-6075073,in-call,96,31.4713666658,34.4375037295
050-6913380,in-call,2488,31.4340575361,34.3864494613
050-2421581,in-call,80,31.3968707491,34.346567352
050-3516787,in-call,25,31.4449310116,34.4107775652
