phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-1855111,in-call,108,31.4301609913,34.3767503518
050-4956557,in-call,97,31.4713024324,34.4173538536
050-1324674,out-call,30,31.4727849042,34.4322492746
050-3495589,out-call,28,31.4525662983,34.4292603679
050-9254589,in-call,1663,31.4659663954,34.4501385588
050-8281634,in-call,1234,31.4432056727,34.3777795829
050-9972377,in-call,159,31.432760082,34.3787085038
050-9217345,in-call,818,31.4731446669,34.4217549063
050-8738718,in-call,1941,31.4565048722,34.3890574599
050-7285151,in-call,1504,31.4383246519,34.4037386485
050-8647822,in-call,2633,31.4381894175,34.3914316593
050-6948759,in-call,2372,31.4042330273,34.3670854073
050-5958520,in-call,88,31.4643768888,34.4188466108
050-4625111,in-call,2070,31.4618291398,34.4344809616
050-8062072,out-call,2651,31.4549546704,34.3952025443
