phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-6128724,out-call,975,31.4514572657,34.4152916175
050-3091231,in-call,47,31.4509979795,34.4133352017
050-5200156,out-call,118,31.4291374145,34.3964721596
050-9435981,in-call,69,31.4080112428,34.3605238675
050-3045805,in-call,3517,31.4275806388,34.3964093594
050-8375037,in-call,62,31.397120587,34.3627790426
050-4263837,out-call,55,31.4435060957,34.3774771599
050-8755554,out-call,28,31.4237645415,34.3861740865
050-5103302,in-call,2930,31.4369165343,34.4064001029
050-3304391,in-call,97,31.4582449462,34.4151136459
050-1165660,in-call,92,31.4511057612,34.4165421616
050-1837309,in-call,26,31.4058838216,34.3466872724
050-5625971,out-call,1991,31.4126850556,34.3597221026
050-7715045,in-call,65,31.4735526734,34.4163213441
050-9966208,out-call,81,31.4319002583,34.3980097123
