phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-4176360,in-call,2294,31.4620033408,34.4146834776
050-7070317,in-call,3458,31.4517790045,34.4129160202
050-6034326,out-call,109,31.443015707,34.4153160571
050-7627605,in-call,47,31.4699240011,34.4377186208
050-3557346,in-call,1951,31.44506215,34.3885519283
050-9446219,in-call,66,31.4407856023,34.4120529402
050-2405555,in-call,76,31.4794057534,34.4333071989
050-9592290,out-call,2605,31.4474015596,34.4200578318
050-5204483,in-call,254,31.4157619174,34.3693282246
050-3134991,out-call,1060,31.3810729087,34.3431676622
050-3042083,out-call,3123,31.4030816447,34.3807431312
