phone_number,call_type,call_duration,call_location_longitude,call_location_latitude
050-9343545,out-call,1556,31.4533726847,34.4373452702
050-2214834,out-call,307,31.4827897458,34.4421824179
050-9433763,in-call,444,31.4079059052,34.3675152183
050-6195841,in-call,118,31.4900344689,34.4602066217
050-9799535,in-call,14,31.4134078974,34.3747990297
050-8536563,in-call,3599,31.4163456405,34.3706549755
050-3896836,in-call,23,31.498426332,34.4562950176
050-9964633,out-call,3073,31.446366695,34.4230304086
050-6618458,out-call,3314,31.4609847189,34.4026945499
050-3813569,in-call,3406,31.4433547256,34.42009203
050-5889006,in-call,2412,31.4572667398,34.4313810359
050-8033793,out-call,1305,31.4024813161,34.3778386152
